850	0.005
852	0.005
854	0.005
856	0.005
858	0.005
860	0.005
862	0.005
864	0.005
866	0.005
868	0.005
870	0.005
872	0.005
874	0.005
876	0.005
878	0.005
880	0.005
882	0.005
884	0.005
886	0.005
888	0.008
890	0.012
892	0.032
894	0.052
896	0.137
898	0.197
900	0.265
902	0.321
904	0.374
906	0.408
908	0.457
910	0.481
912	0.497
914	0.507
916	0.523
918	0.534
920	0.559
922	0.563
924	0.577
926	0.581
928	0.592
930	0.598
932	0.612
934	0.622
936	0.628
938	0.639
940	0.643
942	0.655
944	0.664
946	0.678
948	0.681
950	0.691
952	0.702
954	0.71
956	0.716
958	0.733
960	0.737
962	0.747
964	0.761
966	0.767
968	0.779
970	0.788
972	0.795
974	0.808
976	0.819
978	0.828
980	0.831
982	0.841
984	0.848
986	0.856
988	0.87
990	0.876
992	0.88
994	0.894
996	0.904
998	0.911
1000	0.921
1002	0.928
1004	0.941
1006	0.952
1008	0.957
1010	0.961
1012	0.971
1014	0.983
1016	0.992
1018	0.998
1020	1.007
1022	1.013
1024	1.024
1026	1.03
1028	1.039
1030	1.046
1032	1.054
1034	1.064
1036	1.07
1038	1.078
1040	1.093
1042	1.097
1044	1.108
1046	1.115
1048	1.124
1050	1.129
1052	1.137
1054	1.147
1056	1.15
1058	1.156
1060	1.168
1062	1.176
1064	1.183
1066	1.186
1068	1.198
1070	1.203
1072	1.213
1074	1.218
1076	1.228
1078	1.235
1080	1.244
1082	1.252
1084	1.256
1086	1.263
1088	1.271
1090	1.279
1092	1.287
1094	1.294
1096	1.301
1098	1.309
1100	1.317
1102	1.322
1104	1.33
1106	1.338
1108	1.346
1110	1.353
1112	1.358
1114	1.365
1116	1.371
1118	1.377
1120	1.381
1122	1.386
1124	1.391
1126	1.398
1128	1.403
1130	1.409
1132	1.42
1134	1.424
1136	1.431
1138	1.438
1140	1.447
1142	1.455
1144	1.462
1146	1.466
1148	1.474
1150	1.483
1152	1.489
1154	1.493
1156	1.5
1158	1.508
1160	1.518
1162	1.524
1164	1.531
1166	1.535
1168	1.544
1170	1.549
1172	1.557
1174	1.558
1176	1.565
1178	1.57
1180	1.575
1182	1.58
1184	1.585
1186	1.588
1188	1.591
1190	1.596
1192	1.599
1194	1.605
1196	1.607
1198	1.611
1200	1.615
1202	1.618
1204	1.62
1206	1.624
1208	1.626
1210	1.628
1212	1.63
1214	1.633
1216	1.634
1218	1.636
1220	1.637
1222	1.638
1224	1.64
1226	1.64
1228	1.641
1230	1.641
1232	1.641
1234	1.64
1236	1.639
1238	1.637
1240	1.636
1242	1.632
1244	1.631
1246	1.63
1248	1.628
1250	1.628
